CDP Name,County[1],Population,,,
2010 Census[2],Land area[3],Latitude Longitude[4],,,
sqmi,km2,,,,
Danville,Ferry,34,0.18,0.47,48°59′37″N 118°30′25″W
Dash Point,Pierce,931,0.64,1.7,47°18′46″N 122°24′50″W
Deep River,Wahkiakum,204,13.31,34.5,46°21′13″N 123°42′17″W
Deming,Whatcom,353,5.2,13.5,48°50′39″N 122°13′32″W
Desert Aire,Grant,"1,626",3.4,8.8,46°41′39″N 119°55′45″W
Disautel,Okanogan,78,3.77,9.8,48°20′42″N 119°13′48″W
Dixie,Walla Walla,197,0.54,1.4,46°08′21″N 118°08′52″W
Dollars Corner,Clark,"1,108",3.96,10.3,45°46′49″N 122°36′00″W
Donald,Yakima,91,0.92,2.4,46°28′25″N 120°23′32″W
Duluth,Clark,"1,544",5.97,15.5,45°47′02″N 122°38′49″W
East Cathlamet,Wahkiakum,491,1.71,4.4,46°11′48″N 123°21′29″W
East Port Orchard,Kitsap,"5,919",1.54,4,47°31′09″N 122°37′06″W
East Renton Highlands,King,"11,140",11.22,29.1,47°28′26″N 122°05′19″W
Eastmont,Snohomish,"20,101",5.1,13.2,47°53′51″N 122°10′54″W
Easton,Kittitas,478,3.21,8.3,47°13′58″N 121°09′34″W
Edison,Skagit,133,0.57,1.5,48°33′37″N 122°25′52″W
Elbe,Pierce,29,0.06,0.16,46°45′55″N 122°11′41″W
Elk Plain,Pierce,"14,205",7.69,19.9,47°02′40″N 122°21′56″W
Enetai,Kitsap,"2,286",1.03,2.7,47°35′18″N 122°36′21″W
Erlands Point-Kitsap Lake,Kitsap,"2,935",1.75,4.5,47°35′51″N 122°42′10″W
Eschbach,Yakima,415,1.18,3.1,46°39′54″N 120°37′57″W
Esperance,Snohomish,"3,601",0.72,1.9,47°47′36″N 122°20′57″W
Fairchild Air Force Base,Spokane,"2,776",6.53,16.9,47°37′08″N 117°38′53″W
Fairwood (King County),King,"19,102",4.73,12.3,47°26′48″N 122°08′35″W
Fairwood (Spokane County),Spokane,"7,905",3.59,9.3,47°46′01″N 117°25′01″W
Fall City,King,"1,993",2.83,7.3,47°34′10″N 121°54′49″W
Felida,Clark,"7,385",2.88,7.5,45°42′52″N 122°42′46″W
Fern Prairie,Clark,"1,884",5.02,13,45°38′13″N 122°23′47″W
